,region,price_sold_sek,number_of_rooms,area_size,floor_number,has_elevator,year_built,annual_fee_sek,annual_cost_sek,broker,brokerage_firm,region_processed_bromma,region_processed_centrala sundbyberg,region_processed_gröndal,region_processed_hammarby sjöstad,region_processed_kungsholmen,region_processed_råsunda,region_processed_södermalm,region_processed_vasastan,region_processed_årsta,region_processed_östermalm,has_balcony_nej,has_balcony_unknown,cleaned_floor_number,brokerage_firm_processed_erik olsson fastighetsförmedling,brokerage_firm_processed_fastighetsbyrån stockholm - södermalm,brokerage_firm_processed_länsförsäkringar fastighetsförmedling solna,brokerage_firm_processed_notar,brokerage_firm_processed_tradition mäkleri
1259,märsta,2825000,5.0,101,unknown,False,1996.0,5603,37884,helena bohman,mäklarhuset sigtuna märsta rosersberg,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False
1260,kungsholmen,2990000,1.0,28,2 av 5,True,1938.0,1645,0,nina larsson,mäklarhuset stockholm innerstan,False,False,False,False,True,False,False,False,False,False,False,False,2.0,False,False,False,False,False
1261,häggvik,4990000,5.0,1225,6 av 7,True,1982.0,6351,8075,kerstin fröjdh,erik olsson fastighetsförmedling,False,False,False,False,False,False,False,False,False,False,False,False,6.0,True,False,False,False,False
1262,södermalm,8850000,4.0,92,8,True,1967.0,4206,0,sanna treijs,notar,False,False,False,False,False,False,True,False,False,False,False,False,8.0,False,False,False,True,False
1263,nedre gärdet,4460000,2.0,375,2,True,1936.0,2394,5600,caroline hanell,sjöman\frisk,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
1264,solna,1700000,1.0,36,unknown,False,1971.0,1967,2400,ilker cengiz,bosthlm,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False
1266,vasastan,4350000,1.0,367,unknown,False,1891.0,1504,0,ronni mleczkovicz,bergets ro fastighetsförmedling,False,False,False,False,False,False,False,True,False,False,True,False,,False,False,False,False,False
1267,västerhaninge,1595000,2.0,53,unknown,False,2006.0,5657,3500,sofia branting,mohv haninge,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
1269,täby kyrkby,1450000,1.0,225,1 av 3,True,1955.0,1862,3000,emil gerdin,mäklarringen österåker,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,False,False
1270,vasastan,5900000,2.0,62,5 av 5,True,1926.0,2195,5500,gustav enhörning,sjöman\frisk,False,False,False,False,False,False,False,True,False,False,False,True,5.0,False,False,False,False,False
1271,östermalm,20000000,5.0,184,1 av 5,False,1979.0,8910,0,richard lagerling,lagerlings,False,False,False,False,False,False,False,False,False,True,False,True,1.0,False,False,False,False,False
1272,bergshamra,4025000,2.0,70,unknown,False,1989.0,3163,7320,carl-henrik bergroth,erik olsson fastighetsförmedling,False,False,False,False,False,False,False,False,False,False,True,False,,True,False,False,False,False
1273,östermalm,13800000,4.0,130,1,True,1898.0,5717,0,marc blumenthal,blumenthalhoffman fastighetsmäkleri,False,False,False,False,False,False,False,False,False,True,True,False,1.0,False,False,False,False,False
1274,hagastaden,6200000,2.0,65,3 av 14,True,2017.0,3250,7200,filip söderlindh,eklund stockholm new york,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
1275,äppelviken,9600000,4.0,105,1 av 3,False,1922.0,6434,19800,niklas berntzon,eklund stockholm new york,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False
1276,johanneshov,3640000,3.0,54,3 av 3,False,1946.0,4200,5700,pontus palmén,bosthlm johanneshov/hammarbyhöjden,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
1277,södermalm / zinkensdamm,4450000,2.0,52,6 av 7,True,1942.0,3066,8000,mikael bjérnhof,ambassadör fastighetsmäkleri ab,False,False,False,False,False,False,False,False,False,False,False,False,6.0,False,False,False,False,False
1278,södermalm,4360000,2.0,44,unknown,False,1894.0,2975,13800,ylva ekelund,nestor fastighetsmäkleri,False,False,False,False,False,False,True,False,False,False,False,True,,False,False,False,False,False
1279,gullmarsplan/globen,2995000,2.0,45,2 av 3,True,1945.0,2854,0,sanna  pickelner,svenska mäklarhuset johanneshov,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
1280,norrmalm,10225000,3.0,85,3 av 3,True,1910.0,4088,0,caroline lundin,behrer & partners,False,False,False,False,False,False,False,False,False,False,True,False,3.0,False,False,False,False,False
1281,bagarmossen,3540000,2.0,625,-1 av 3,True,2002.0,5020,0,julia larsson,bosthlm johanneshov/hammarbyhöjden,False,False,False,False,False,False,False,False,False,False,False,True,-1.0,False,False,False,False,False
1282,kvarnholmen,5250000,3.0,75,unknown,False,2021.0,4393,5400,fatos cetinkaya,widerlöv nacka/värmdö,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False
1283,södermalm,7800000,3.0,65,4,True,1913.0,3312,6960,sanna treijs,notar,False,False,False,False,False,False,True,False,False,False,False,False,4.0,False,False,False,True,False
1284,tibble torg,1100000,3.0,90,3 av 3,True,1991.0,7258,4200,william stenberg,mäklarhuset kungsängen,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
1285,vaxholm,2800000,2.0,48,1 av 3,True,2023.0,3718,0,jimi bennet,erik olsson nyproduktion,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
1286,telefonplan/midsommarkransen,2950000,2.0,54,1 av 7,True,2019.0,4230,0,fadi shamoun,notar,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,True,False
1287,östermalm,10200000,3.0,90,5 av 5,True,1932.0,4919,8868,christoffer robsahm,susanne persson fastighetsförmedling ab,False,False,False,False,False,False,False,False,False,True,False,False,5.0,False,False,False,False,False
1289,akalla,1960000,3.0,73,1 av 5,True,1976.0,4240,0,david chamaon,husmanhagberg kista,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
1290,kista,2450000,3.0,74,2 av 36,True,2015.0,4743,7944,nihat taheri,länsförsäkringar fastighetsförmedling stockholm - kista/tensta,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
1291,vasastan,7250000,2.0,61,5 av 5,True,1934.0,3522,0,robert ljungström,fastighetsbyrån stockholm - vasastan,False,False,False,False,False,False,False,True,False,False,False,False,5.0,False,False,False,False,False
1292,fredhäll,3350000,2.0,38,3 av 4,True,1931.0,2126,1044,laziz khalmatov,fastighetsbyrån stockholm - kungsholmen,False,False,False,False,False,False,False,False,False,False,False,True,3.0,False,False,False,False,False
1293,fruängen,1835000,1.0,45,unknown,False,1958.0,2856,3480,enkidu afram,fastighetsbyrån hägersten/älvsjö,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False
1294,vasastan,7850000,3.0,79,2 av 5,True,1882.0,2276,9000,frida elmbro,tf real estate agency ab,False,False,False,False,False,False,False,True,False,False,True,False,2.0,False,False,False,False,False
1295,centrala solna,2675000,2.0,45,unknown,False,2003.0,2841,8066,jennifer törnkvist,fastighetsbyrån solna,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False
1296,bromma / riksby,2440000,2.0,56,2 av 3,True,1940.0,4382,7476,daniel andersson,svenska mäklarhuset bromma,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
1297,tollare,6100000,4.0,112,4 av 10,True,2020.0,7519,7200,thomas jonasson,widerlöv nacka/värmdö,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
1298,hägernäs,2250000,2.0,58,4 av 7,True,1958.0,3625,4800,filip gröholt,mäklarringen täby,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
1299,fresta,2650000,4.0,81,1 av 2,True,2015.0,5012,0,marcus berglund,länsförsäkringar fastighetsförmedling upplands väsby,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,False,False
1301,årsta,3400000,3.0,77,3 av 12,True,1961.0,5250,9585,diwan budakci,fastighetsbyrån årsta,False,False,False,False,False,False,False,False,True,False,False,False,3.0,False,False,False,False,False
1302,kallhäll,1795000,2.0,45,3 av 4,True,2018.0,3174,5340,amanda pettersson,fastighetsbyrån järfälla,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
1303,kungsholmen,4260000,2.0,42,1 av 9,True,1934.0,3730,7800,vilhelm åman,bjurfors kungsholmen,False,False,False,False,True,False,False,False,False,False,False,False,1.0,False,False,False,False,False
1304,johanneshov / gullmarsplan,4575000,4.0,68,3 av 3,True,1944.0,4976,9563,josefin widman,historiska hem,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
1305,råcksta,1800000,1.0,44,1 av 5,True,2008.0,3416,6000,martin ibrahim,länsförsäkringar fastighetsförmedling stockholm - vällingby,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
1306,farsta,1845000,1.0,40,3,True,1958.0,2617,0,simon strand,notar,False,False,False,False,False,False,False,False,False,False,True,False,3.0,False,False,False,True,False
1308,södermalm maria,4650000,2.0,42,2,True,1896.0,2091,0,douglas davidsson,bjurfors södermalm,False,False,False,False,False,False,False,False,False,False,True,False,2.0,False,False,False,False,False
1309,hammarby sjöstad,3800000,2.0,515,1 av 8,True,2020.0,2841,0,hanna parwén,notar,False,False,False,True,False,False,False,False,False,False,False,False,1.0,False,False,False,True,False
1310,hägernäs,2500000,3.0,736,6 av 9,True,1958.0,4478,4188,louise häggberg,länsförsäkringar fastighetsförmedling täby,False,False,False,False,False,False,False,False,False,False,False,False,6.0,False,False,False,False,False
1311,hallonbergen,1495000,2.0,688,4 av 5,True,1971.0,4322,0,jessica toubal,husmanhagberg sundbyberg,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
1312,kungsholmen,6500000,2.0,54,3,True,1913.0,2506,6000,johanna lindbäck,notar,False,False,False,False,True,False,False,False,False,False,False,False,3.0,False,False,False,True,False
1314,liljeholmen/årstaberg,3650000,2.0,53,8 av 16,True,2018.0,3291,7100,kristoffer pettersson,svenska mäklarhuset hägersten/liljeholmen,False,False,False,False,False,False,False,False,False,False,False,False,8.0,False,False,False,False,False
1315,gröndal,3550000,2.0,60,unknown,False,1960.0,3637,0,nicklas talvitie,notar,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,True,False
1318,hässelby gård,1850000,4.0,92,1 av 3,True,1955.0,5933,1800,martin ibrahim,länsförsäkringar fastighetsförmedling stockholm - vällingby,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
1319,vårby gård,1825000,3.0,77,4 av 4,True,1973.0,4524,0,yousif gorges,husmanhagberg hägersten,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
1320,gustavsberg,2300000,2.0,505,3 av 5,True,2017.0,3866,5628,fabian weerén,bjurfors värmdö,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
1322,södermalm/blecktornsparken,8325000,4.0,87,2 av 6,True,1965.0,4361,10400,josefin widman,historiska hem,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
1323,sickla strand,3500000,2.0,565,1 av 3,True,1948.0,2828,3000,niklas örtenholm,länsförsäkringar fastighetsförmedling nacka,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
1324,råsunda,2820000,2.0,39,3 av 4,True,1938.0,2488,4200,joakim wihlbäck,svenska mäklarhuset solna,False,False,False,False,False,True,False,False,False,False,False,False,3.0,False,False,False,False,False
1325,hammarbyhöjden/björkhagen,3950000,2.0,48,3 av 3,True,1943.0,3349,0,gabriel gawell,svenska mäklarhuset johanneshov,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
1326,centrala norrtälje,1600000,2.0,495,3 av 3,True,1998.0,3076,0,åsa hallberg,mohv norrtälje,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
1327,maria,4025000,2.0,37,1,True,1884.0,2762,9900,malin miura,fastighetsbyrån stockholm - södermalm,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,True,False,False,False
1328,viksjö,1845000,2.0,65,2 av 3,True,1970.0,4468,4200,botan barzanji,notar,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,True,False
1329,vasastan östermalm,5575000,2.0,41,4 av 4,True,1929.0,2766,0,victor sjölund,husmanhagberg vasastan,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
1330,hornstull,2780000,1.0,24,5 av 5,True,1930.0,1610,3096,frida urciuoli,erik olsson fastighetsförmedling,False,False,False,False,False,False,False,False,False,False,False,False,5.0,True,False,False,False,False
1331,södermalm,7300000,4.0,93,unknown,False,1982.0,3654,10800,annacarin brånhammar,södermäklarna,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,False
1332,vasastan,8550000,3.0,77,4 av 4,True,1889.0,3076,0,tina berlin,husmanhagberg vasastan,False,False,False,False,False,False,False,True,False,False,False,False,4.0,False,False,False,False,False
1333,kista,1390000,1.0,365,4 av 4,True,1979.0,2897,0,ramzi hamam,husmanhagberg kista,False,False,False,False,False,False,False,False,False,False,True,False,4.0,False,False,False,False,False
1335,storskogen,4325000,3.0,77,2 av 5,True,1978.0,3445,0,safa kvist,svenska mäklarhuset sundbyberg,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
1336,tullinge,2000000,2.0,655,2 av 4,True,2015.0,4056,6981,romeo sharro,fastighetsbyrån tumba,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
1338,västra orminge,1300000,1.0,45,1 av 2,True,1969.0,3186,4884,hans jonevret,svenska mäklarhuset nacka,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
1339,barkarbystaden,1395000,1.0,23,3 av 3,True,2020.0,1824,0,christian karatas,erik olsson fastighetsförmedling,False,False,False,False,False,False,False,False,False,False,True,False,3.0,True,False,False,False,False
1340,vasastan,5750000,2.0,56,3,True,1885.0,3657,2400,thérèse lennefalk löfgren,fastighetsbyrån stockholm - vasastan,False,False,False,False,False,False,False,True,False,False,False,False,3.0,False,False,False,False,False
1341,ritorp,1995000,2.0,72,unknown,False,2007.0,4337,7248,paulina uebel,fastighetsbyrån södertälje,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False
1342,kungsholmen,6335000,3.0,78,4,True,2009.0,3444,10560,david garrett,bjurfors kungsholmen,False,False,False,False,True,False,False,False,False,False,False,False,4.0,False,False,False,False,False
1343,stureby,2970000,2.0,54,2 av 3,True,1952.0,4136,5844,angela hamstad,notar,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,True,False
1344,farsta,1975000,1.0,38,unknown,False,1958.0,1887,0,simon strand,notar,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False
1345,maria,3000000,1.0,36,unknown,False,1929.0,1721,0,sofia ekander,fastighetsbyrån stockholm - södermalm,False,False,False,False,False,False,False,False,False,False,False,True,,False,True,False,False,False
1346,mariekäll,1625000,2.0,53,3 av 3,True,1956.0,3141,0,emma sollert,erik olsson fastighetsförmedling,False,False,False,False,False,False,False,False,False,False,False,False,3.0,True,False,False,False,False
1347,södermalm,4125000,2.0,48,6 av 6,True,1944.0,3752,7320,mikael rantala,erik olsson fastighetsförmedling,False,False,False,False,False,False,True,False,False,False,False,False,6.0,True,False,False,False,False
1348,kallhäll,1050000,1.0,345,1,True,2001.0,2686,2532,botan barzanji,notar,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,True,False
1349,blåsut,3800000,2.0,64,4 av 6,True,2014.0,3550,5400,alfred gunnarsson,länsförsäkringar fastighetsförmedling stockholm - enskede,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
1350,liljeholmen,4350000,2.0,575,3 av 9,True,2016.0,3349,7350,kristoffer pettersson,svenska mäklarhuset hägersten/liljeholmen,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
1351,vasastan,11150000,3.0,89,2,True,1907.0,4753,0,otilia håkansson,fastighetsbyrån stockholm - vasastan,False,False,False,False,False,False,False,True,False,False,False,False,2.0,False,False,False,False,False
1352,örby slott,3075000,3.0,74,3 av 3,True,1950.0,4224,0,kajsa bergklint,svensk fastighetsförmedling älvsjö,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
1353,kungsholmen,7405000,2.0,73,5,True,1931.0,3902,0,therese karlsson,skandiamäklarna stockholm kungsholmen,False,False,False,False,True,False,False,False,False,False,False,False,5.0,False,False,False,False,False
1354,bollstanäs/grimstaby,2550000,4.0,96,unknown,False,1976.0,5347,15000,lars steneryd,skandiamäklarna upplands väsby,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
1355,sollentuna,1630000,3.0,70,3,True,1962.0,4454,4668,linda bylund,svensk fastighetsförmedling sollentuna,False,False,False,False,False,False,False,False,False,False,False,True,3.0,False,False,False,False,False
1357,kungsholmen,2900000,1.0,26,2,False,1930.0,571,4200,therese karlsson,skandiamäklarna stockholm kungsholmen,False,False,False,False,True,False,False,False,False,False,False,True,2.0,False,False,False,False,False
1358,hersby,2940000,2.0,66,3 av 3,True,1950.0,5612,0,helena prahl claesson,skandiamäklarna lidingö,False,False,False,False,False,False,False,False,False,False,False,True,3.0,False,False,False,False,False
1359,torsvik,5200000,3.0,78,2 av 5,True,1959.0,3824,6600,lars nilsson,skandiamäklarna lidingö,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
1360,sköndal,3100000,3.0,70,3 av 3,True,1955.0,4060,8000,kim ekholm,fastighetsbyrån farsta/ högdalen/ skogås,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
1361,edsberg,1650000,3.0,66,2 av 3,True,1962.0,4305,0,carl vestersköld,svensk fastighetsförmedling sollentuna,False,False,False,False,False,False,False,False,False,False,False,True,2.0,False,False,False,False,False
1362,söderberga allé,2700000,3.0,74,1 av 4,True,1995.0,4278,2484,malin ivinger,fastighetsbyrån bromma,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False
1363,älta,3150000,4.0,97,2 av 7,True,1971.0,6273,11880,emma ekholm,skandiamäklarna tyresö/älta,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
1364,årsta,3900000,2.0,605,4 av 8,True,2011.0,4203,4800,selma fazlic,svensk fastighetsförmedling *årsta,False,False,False,False,False,False,False,False,True,False,False,False,4.0,False,False,False,False,False
1367,riksten,2195000,3.0,53,1 av 2,True,2017.0,3345,0,stefan engroos,svensk fastighetsförmedling botkyrka/salem,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False
1369,barkarbystaden,2350000,2.0,55,5 av 6,True,2014.0,3811,0,jony eliyo,skandiamäklarna järfälla,False,False,False,False,False,False,False,False,False,False,False,False,5.0,False,False,False,False,False
1370,finnboda hamn,2600000,2.0,475,1 av 5,True,2008.0,3659,4440,caroline hazelius,skandiamäklarna nacka,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
1371,hornsbergs strand,9700000,3.0,89,3 av 9,True,2012.0,3555,0,erika asp mutschler,diplomat fastighetmäkleri,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
1372,barkarbystaden,4000000,4.0,85,5 av 5,True,2016.0,5064,0,jony eliyo,skandiamäklarna järfälla,False,False,False,False,False,False,False,False,False,False,False,False,5.0,False,False,False,False,False
1373,hagsätra,1820000,2.0,573,2 av 3,True,1959.0,3285,0,alexander helin,skandiamäklarna älvsjö/årsta,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
1374,riksten,1795000,2.0,55,unknown,False,2016.0,3102,0,johan holmgren,skandiamäklarna huddinge,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False
1375,västra kungsholmen,11700000,4.0,115,4,True,2010.0,5152,10740,lisa kalin,diplomat fastighetmäkleri,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
1376,vasastan,7050000,2.0,58,3,True,1906.0,2190,18400,emil hoffman,blumenthalhoffman fastighetsmäkleri,False,False,False,False,False,False,False,True,False,False,False,False,3.0,False,False,False,False,False
1377,södermalm,4700000,2.0,68,3 av 8,True,1969.0,3744,9769,theo karantonio,erik olsson fastighetsförmedling,False,False,False,False,False,False,True,False,False,False,False,False,3.0,True,False,False,False,False
1378,bergshamra,3900000,3.0,69,2,True,1959.0,2717,9240,julia laitinen,erik olsson fastighetsförmedling,False,False,False,False,False,False,False,False,False,False,False,False,2.0,True,False,False,False,False
1379,stocksund / inverness,5795000,2.0,735,2 av 3,True,2022.0,3883,2400,izla sharro,södermäklarna,False,False,False,False,False,False,False,False,False,False,True,False,2.0,False,False,False,False,False
1380,vasastan,8550000,3.0,71,3 av 5,True,1885.0,2640,11124,sofia wetterberg,widerlöv vasastan/östermalm,False,False,False,False,False,False,False,True,False,False,False,False,3.0,False,False,False,False,False
1382,tureberg,960000,1.0,18,2 av 9,True,1970.0,1128,1440,alexander lahdo,länsförsäkringar fastighetsförmedling sollentuna,False,False,False,False,False,False,False,False,False,False,True,False,2.0,False,False,False,False,False
1383,kungsholmen,4295000,2.0,48,1 av 5,True,1974.0,2388,6000,anders björkqvist,sthlmfast,False,False,False,False,True,False,False,False,False,False,True,False,1.0,False,False,False,False,False
1384,fruängen,2630000,2.0,625,3 av 3,False,1970.0,3995,0,christian enström,ambassadör fastighetsmäkleri ab,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
1385,långbro park,7000000,5.0,137,4 av 4,True,2013.0,8361,10200,philip von segebaden,mäklarhuset älvsjö/hägersten,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
1386,östermalm,25600000,5.0,203,1,True,1916.0,10000,0,niclas behrer,behrer & partners,False,False,False,False,False,False,False,False,False,True,False,False,1.0,False,False,False,False,False
1387,vällingby  centrum,1375000,1.0,26,2 av 3,False,1954.0,1676,4560,gabriel nordenhaag,mäklarhuset vällingby-hässelby,False,False,False,False,False,False,False,False,False,False,False,True,2.0,False,False,False,False,False
1388,vasastan/birkastan,5825000,2.0,62,6 av 7,True,1911.0,3509,6556,niklas wellmér,erik olsson fastighetsförmedling,False,False,False,False,False,False,False,False,False,False,True,False,6.0,True,False,False,False,False
1389,centrala sundbyberg,2875000,2.0,52,1 av 3,True,1947.0,3486,0,johanna markbäck zeilon,husmanhagberg sundbyberg,False,True,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
1390,östermalm,8795000,3.0,73,unknown,False,1885.0,4059,0,marcus pettersson,vision mäkleri ab,False,False,False,False,False,False,False,False,False,True,False,True,,False,False,False,False,False
1391,årsta,2610000,2.0,595,unknown,False,1961.0,3741,6100,monia belgacem,bosthlm årsta,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,False
1395,kungsholmen/ fridhemsplan,5850000,3.0,63,3 av 9,True,1940.0,3884,7992,nicklas kling,alicia edelman fastighetsmäkleri,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
1397,lilla essingen,4050000,2.0,445,unknown,False,2004.0,3093,4800,dennis sandström,sthlmfast,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
1398,beckomberga,3250000,2.0,555,3 av 4,True,2017.0,3251,5940,federiko ortiz,mäklarhuset bromma,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
1399,södermalm,5750000,1.0,50,3 av 3,True,1889.0,2674,6500,charlotta larsson,tradition mäkleri,False,False,False,False,False,False,True,False,False,False,True,False,3.0,False,False,False,False,True
1400,gustavsberg porslinskvarteren,2200000,2.0,50,2 av 6,True,2016.0,4151,8640,ulrika andersson,husmanhagberg värmdö,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
1401,mälarhöjden,4720000,4.0,1027,2 av 2,True,1988.0,5425,0,hussein ammouri,länsförsäkringar fastighetsförmedling stockholm - hägersten,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
1402,centrala väsby,2210000,3.0,84,7 av 7,True,1973.0,4765,4632,annika walcott,bjurfors upplands väsby,False,False,False,False,False,False,False,False,False,False,False,False,7.0,False,False,False,False,False
1403,hökarängen,3200000,2.0,64,3 av 3,True,2015.0,4416,5400,saki carapanos,södermäklarna,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
1404,hammarby sjöstad,6750000,4.0,93,4 av 6,True,2009.0,5251,0,johan nurk,mäklarhuset hammarby sjöstad,False,False,False,True,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
1406,tollare,6800000,4.0,113,6,True,2019.0,7037,0,christian enström,ambassadör fastighetsmäkleri ab,False,False,False,False,False,False,False,False,False,False,False,False,6.0,False,False,False,False,False
1407,vasastan / östermalm,4500000,2.0,44,unknown,False,1916.0,1300,7300,johan du rietz,franzon du rietz,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False
1408,akalla,1950000,3.0,85,5 av 5,True,1977.0,5743,0,david chamaon,husmanhagberg kista,False,False,False,False,False,False,False,False,False,False,False,False,5.0,False,False,False,False,False
1409,fruängen,1895000,1.0,31,1 av 5,True,2014.0,2182,8500,carina brandell,hägerstens mäklare,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
1410,kungsholmen,5800000,2.0,58,3 av 6,True,1934.0,2217,0,henrik hammarstrand,mäklarhuset hammarbyhöjden,False,False,False,False,True,False,False,False,False,False,False,True,3.0,False,False,False,False,False
1411,fruängen,2775000,2.0,60,3 av 3,True,1966.0,3769,6600,resi wolfmeier steding,mäklarhuset liljeholmen,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
1413,näckrosen,2120000,1.0,27,2,True,1945.0,1739,0,tim enström,svenska mäklarhuset solna,False,False,False,False,False,False,False,False,False,False,True,False,2.0,False,False,False,False,False
1414,vasastan,13200000,4.0,105,1 av 5,True,1898.0,5649,12000,sara helin,eklund stockholm new york,False,False,False,False,False,False,False,True,False,False,False,True,1.0,False,False,False,False,False
1415,bromma,3560000,2.0,63,unknown,False,2006.0,4171,0,mikael flobecker,fjelkners by widerlöv,True,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False
1416,huddinge centralt,1930000,1.0,465,1 av 3,True,1989.0,3581,6000,erika eriksson,notar,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,True,False
1417,edsängen,2220000,2.0,54,2 av 4,True,2011.0,3414,4200,charlie asteson,länsförsäkringar fastighetsförmedling sollentuna,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
1418,vasastan/atlas,12150000,5.0,120,2 av 5,True,1928.0,4931,17000,niklas wendell,eklund stockholm new york,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
1420,lärkstaden/östermalm,11250000,4.0,100,0,False,1928.0,4938,3800,niklas wendell,eklund stockholm new york,False,False,False,False,False,False,False,False,False,False,False,True,0.0,False,False,False,False,False
1421,centrala haninge,2475000,4.0,772,1 av 3,True,1958.0,5034,4200,tove hörnblad,bjurfors haninge,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
1422,nälsta,2025000,2.0,54,2,True,1993.0,3763,3000,oskar ahlgren,länsförsäkringar fastighetsförmedling stockholm - vällingby,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
1423,nedre gärdet,5850000,3.0,61,0,True,1934.0,4445,0,mathias dominius,notar,False,False,False,False,False,False,False,False,False,False,True,False,0.0,False,False,False,True,False
